algorithm,experiment,condition,trial,rail,bit_index,bit_value,victor_purpura,van_rossum,l1_spike_count,l3_spike_count,unit_id,model_trial,payload_id,noise_replicate,noise_seed,noise_type,noise_rate_hz
S-DES,full_noise_campaign,es_stdp_teacher_off,0,12,6,0,81.10999999999994,7.3718116050021285,82,116,S-DES|m0|p0|r0,0,0,0,704363219,poisson_excitatory,100.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,13,6,1,122.88000000000005,9.147033508933957,128,189,S-DES|m0|p0|r0,0,0,0,704363219,poisson_excitatory,100.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,14,7,0,141.80999999999992,9.837914321638069,148,226,S-DES|m0|p0|r0,0,0,0,704363219,poisson_excitatory,100.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,15,7,1,63.06000000000002,6.500478178251169,62,89,S-DES|m0|p0|r0,0,0,0,704363219,poisson_excitatory,100.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,0,0,0,93.46999999999977,7.204328337568111,138,155,S-DES|m0|p0|r0,0,0,0,1316112746,poisson_inhibitory,5.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,1,0,1,51.19000000000008,5.282481752875582,72,74,S-DES|m0|p0|r0,0,0,0,1316112746,poisson_inhibitory,5.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,2,1,0,47.839999999999996,5.0231622902665904,68,69,S-DES|m0|p0|r0,0,0,0,1316112746,poisson_inhibitory,5.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,3,1,1,94.49999999999999,7.218120879686481,142,158,S-DES|m0|p0|r0,0,0,0,1316112746,poisson_inhibitory,5.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,4,2,0,62.62999999999998,5.846080573731763,88,93,S-DES|m0|p0|r0,0,0,0,1316112746,poisson_inhibitory,5.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,5,2,1,84.18999999999983,6.796679086666295,122,135,S-DES|m0|p0|r0,0,0,0,1316112746,poisson_inhibitory,5.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,6,3,0,97.21,7.315684713440637,146,163,S-DES|m0|p0|r0,0,0,0,1316112746,poisson_inhibitory,5.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,7,3,1,45.80999999999998,4.943556058510852,64,64,S-DES|m0|p0|r0,0,0,0,1316112746,poisson_inhibitory,5.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,8,4,0,42.499999999999915,4.834529172344346,58,60,S-DES|m0|p0|r0,0,0,0,1316112746,poisson_inhibitory,5.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,9,4,1,104.65999999999988,7.664366742374333,152,179,S-DES|m0|p0|r0,0,0,0,1316112746,poisson_inhibitory,5.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,10,5,0,91.30999999999996,7.064852075632751,138,152,S-DES|m0|p0|r0,0,0,0,1316112746,poisson_inhibitory,5.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,11,5,1,50.48000000000001,5.198126141431874,72,73,S-DES|m0|p0|r0,0,0,0,1316112746,poisson_inhibitory,5.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,12,6,0,56.69999999999994,5.440667010074092,82,83,S-DES|m0|p0|r0,0,0,0,1316112746,poisson_inhibitory,5.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,13,6,1,84.47000000000013,6.7238045408310505,128,138,S-DES|m0|p0|r0,0,0,0,1316112746,poisson_inhibitory,5.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,14,7,0,101.07,7.499948227473455,148,173,S-DES|m0|p0|r0,0,0,0,1316112746,poisson_inhibitory,5.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,15,7,1,42.78000000000002,4.7747202186953634,62,62,S-DES|m0|p0|r0,0,0,0,1316112746,poisson_inhibitory,5.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,0,0,0,94.25999999999978,7.240080124639096,138,155,S-DES|m0|p0|r0,0,0,0,266905297,poisson_inhibitory,10.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,1,0,1,51.85000000000008,5.319316350022376,72,74,S-DES|m0|p0|r0,0,0,0,266905297,poisson_inhibitory,10.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,2,1,0,48.200000000000074,5.070775257411108,68,69,S-DES|m0|p0|r0,0,0,0,266905297,poisson_inhibitory,10.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,3,1,1,94.88,7.2257797250853795,142,158,S-DES|m0|p0|r0,0,0,0,266905297,poisson_inhibitory,10.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,4,2,0,63.169999999999874,5.871993150677478,88,93,S-DES|m0|p0|r0,0,0,0,266905297,poisson_inhibitory,10.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,5,2,1,85.23999999999991,6.834615014082773,122,135,S-DES|m0|p0|r0,0,0,0,266905297,poisson_inhibitory,10.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,6,3,0,97.95999999999987,7.34406686105353,146,163,S-DES|m0|p0|r0,0,0,0,266905297,poisson_inhibitory,10.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,7,3,1,47.180000000000064,5.0387538929671996,64,65,S-DES|m0|p0|r0,0,0,0,266905297,poisson_inhibitory,10.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,8,4,0,43.15999999999996,4.880316494050932,58,60,S-DES|m0|p0|r0,0,0,0,266905297,poisson_inhibitory,10.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,9,4,1,105.87999999999997,7.7203143410216235,152,179,S-DES|m0|p0|r0,0,0,0,266905297,poisson_inhibitory,10.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,10,5,0,91.81999999999991,7.070344476132533,138,152,S-DES|m0|p0|r0,0,0,0,266905297,poisson_inhibitory,10.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,11,5,1,50.91999999999997,5.2216270173267025,72,73,S-DES|m0|p0|r0,0,0,0,266905297,poisson_inhibitory,10.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,12,6,0,57.37999999999994,5.490356361724364,82,83,S-DES|m0|p0|r0,0,0,0,266905297,poisson_inhibitory,10.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,13,6,1,84.97999999999998,6.732863500703816,128,138,S-DES|m0|p0|r0,0,0,0,266905297,poisson_inhibitory,10.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,14,7,0,101.03999999999992,7.51810229043404,148,173,S-DES|m0|p0|r0,0,0,0,266905297,poisson_inhibitory,10.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,15,7,1,44.05999999999988,4.869938043141219,62,63,S-DES|m0|p0|r0,0,0,0,266905297,poisson_inhibitory,10.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,0,0,0,95.28999999999996,7.2681970509473075,138,155,S-DES|m0|p0|r0,0,0,0,462867404,poisson_inhibitory,25.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,1,0,1,50.729999999999905,5.215452789341257,72,72,S-DES|m0|p0|r0,0,0,0,462867404,poisson_inhibitory,25.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,2,1,0,49.40000000000006,5.139296345966445,68,69,S-DES|m0|p0|r0,0,0,0,462867404,poisson_inhibitory,25.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,3,1,1,96.09999999999988,7.271233969414346,142,158,S-DES|m0|p0|r0,0,0,0,462867404,poisson_inhibitory,25.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,4,2,0,64.90000000000008,5.966404313874493,88,94,S-DES|m0|p0|r0,0,0,0,462867404,poisson_inhibitory,25.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,5,2,1,86.68999999999994,6.894005482783825,122,135,S-DES|m0|p0|r0,0,0,0,462867404,poisson_inhibitory,25.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,6,3,0,99.35000000000018,7.39207867912202,146,163,S-DES|m0|p0|r0,0,0,0,462867404,poisson_inhibitory,25.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,7,3,1,48.5999999999999,5.1366145684113516,64,65,S-DES|m0|p0|r0,0,0,0,462867404,poisson_inhibitory,25.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,8,4,0,44.33999999999996,4.951611542379717,58,60,S-DES|m0|p0|r0,0,0,0,462867404,poisson_inhibitory,25.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,9,4,1,106.32000000000004,7.717206366694512,152,179,S-DES|m0|p0|r0,0,0,0,462867404,poisson_inhibitory,25.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,10,5,0,93.15999999999988,7.108556717943791,138,152,S-DES|m0|p0|r0,0,0,0,462867404,poisson_inhibitory,25.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,11,5,1,52.87000000000008,5.370707965203417,72,73,S-DES|m0|p0|r0,0,0,0,462867404,poisson_inhibitory,25.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,12,6,0,59.69,5.644331914511231,82,84,S-DES|m0|p0|r0,0,0,0,462867404,poisson_inhibitory,25.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,13,6,1,86.3000000000001,6.7970337588742495,128,138,S-DES|m0|p0|r0,0,0,0,462867404,poisson_inhibitory,25.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,14,7,0,102.57000000000004,7.548256251145522,148,174,S-DES|m0|p0|r0,0,0,0,462867404,poisson_inhibitory,25.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,15,7,1,45.49999999999989,4.957300715662294,62,63,S-DES|m0|p0|r0,0,0,0,462867404,poisson_inhibitory,25.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,0,0,0,96.60999999999974,7.279751579205416,138,155,S-DES|m0|p0|r0,0,0,0,9056795,poisson_inhibitory,50.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,1,0,1,53.139999999999866,5.425161652055904,72,72,S-DES|m0|p0|r0,0,0,0,9056795,poisson_inhibitory,50.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,2,1,0,52.68999999999999,5.3921342041399996,68,69,S-DES|m0|p0|r0,0,0,0,9056795,poisson_inhibitory,50.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,3,1,1,99.69999999999992,7.420872038785974,142,158,S-DES|m0|p0|r0,0,0,0,9056795,poisson_inhibitory,50.0
