algorithm,trial,plaintext_bytes,ciphertext_bytes,encryption_s,encoding_s,network_build_s,snn_simulation_s,spike_readout_s,decoding_s,decryption_s,online_total_without_build_s,online_total_with_build_s,peak_process_rss_mb,decoder_tie_fraction,decryption_success,exact_plaintext_recovery
ChaCha20,4,105,117,0.00015124003402888775,0.0001787380315363407,0.06458489201031625,0.6034778649918735,8.366396650671959e-05,0.014083296060562134,4.031904973089695e-05,0.6180151221342385,0.6826000141445547,587.890625,0.04700854700854701,True,False
ChaCha20,5,105,117,0.00019357120618224144,0.00018750084564089775,0.06494036200456321,0.5978061580099165,7.91910570114851e-05,0.014185744104906917,3.976793959736824e-05,0.6124919331632555,0.6774322951678187,587.890625,0.0405982905982906,True,False
ChaCha20,6,105,117,0.0001512488815933466,0.00017697596922516823,0.06466832710430026,0.6009090039879084,7.986207492649555e-05,0.013744519092142582,3.9417995139956474e-05,0.6151010280009359,0.6797693551052362,587.890625,0.05235042735042735,True,False
ChaCha20,7,105,117,0.00015336205251514912,0.00022803782485425472,0.06637333682738245,0.6060428931377828,0.0001282729208469391,0.016481169033795595,6.732204928994179e-05,0.6231010570190847,0.6894743938464671,587.890625,0.03952991452991453,True,False
ChaCha20,8,105,117,0.00014878087677061558,0.00022667390294373035,0.06919436505995691,0.6010630808304995,8.282484486699104e-05,0.013960201991721988,4.0236860513687134e-05,0.6155217993073165,0.6847161643672734,587.890625,0.03632478632478633,True,False
ChaCha20,9,105,117,0.00015360605902969837,0.00019186711870133877,0.06489263800904155,0.6108607049100101,8.111982606351376e-05,0.014312472892925143,3.9218924939632416e-05,0.6256389897316694,0.690531627740711,587.890625,0.04807692307692308,True,False
RSA,0,105,256,0.0007442908827215433,0.00039416016079485416,0.06488226098008454,1.3230834680143744,9.078998118638992e-05,0.03844305197708309,0.0013733310624957085,1.364129092078656,1.4290113530587405,587.890625,0.05029296875,False,False
RSA,1,105,256,0.0006168789695948362,0.00034968601539731026,0.06440874398685992,1.3164648560341448,9.002909064292908e-05,0.03822697582654655,0.001364096999168396,1.3571125229354948,1.4215212669223547,587.890625,0.05224609375,False,False
RSA,2,105,256,0.0006047249771654606,0.00035529211163520813,0.06462991121225059,1.309413508977741,8.788518607616425e-05,0.03903764602728188,0.0014522920828312635,1.350951349362731,1.4155812605749816,587.890625,0.0458984375,False,False
RSA,3,105,256,0.0006111168768256903,0.00036016199737787247,0.06450463295914233,1.305666235042736,9.019789285957813e-05,0.04191460181027651,0.001568299951031804,1.3502106135711074,1.4147152465302497,587.890625,0.05419921875,False,False
